name,image,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value,trait_type,value,max_value
0N1 #7663,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7663.png,Background,Citrine,,Body,Azurite,,Extra,0N1 Logo Pin (White),,Eyes,Half Open (Jasper),,Face,Skull Mask,,Hair,Spiky (Obsidian),,Head,Earbuds,,Mouth,Neutral,,Spirit,3,10,Strength,4,10,Style,1,10,Type,Y0K-A1,,Wear,Track Jacket (Pearl),
0N1 #7761,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7761.png,Background,Azurite,,Body,Citrine,,Extra,0N1 Logo Pin (Black),,Eyes,Open (Citrine),,Face,Nose Scar,,Hair,Long (Turquoise),,Head,Void,,Mouth,Neutral,,Spirit,4,10,Strength,4,10,Style,1,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Jasper),
0N1 #7566,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7566.png,Background,Citrine,,Body,Citrine,,Extra,Void,,Eyes,Open (Citrine),,Face,Glasses (Obsidian),,Hair,Dreads (Bronzite),,Head,Headphones (Jasper),,Mouth,Smirk,,Spirit,1,10,Strength,3,10,Style,1,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Jasper),
0N1 #7760,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7760.png,Background,Citrine,,Body,Citrine,,Extra,0N1 Logo Pin (White),,Eyes,Half Open (Citrine),,Face,PR Mask (Turqouise),,Hair,Bob (Obsidian),,Head,Headphones (Turquoise),,Mouth,Neutral,,Spirit,3,10,Strength,5,10,Style,4,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Turquoise),
0N1 #7601,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7601.png,Background,Citrine,,Body,Jasper,,Extra,0N1 Logo Pin (White),,Eyes,Squint (Azurite),,Face,KULT Mask (Obsidian),,Hair,Bob (Obsidian),,Head,Void,,Mouth,Frown,,Spirit,5,10,Strength,2,10,Style,4,10,Type,Y0K-A1,,Wear,Track Jacket (Citrine),
0N1 #7662,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7662.png,Background,Azurite,,Body,Citrine,,Extra,Oni Doll (Azurite),,Eyes,Eye Shadow (Jasper),,Face,PR Mask (Charcoal),,Hair,Pixie (Pearl),,Head,Headphones (Obsidian),,Mouth,Smirk,,Spirit,8,10,Strength,5,10,Style,7,10,Type,B4K3M0-N0,,Wear,Dress (Pearl),
0N1 #7626,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7626.png,Background,Azurite,,Body,Citrine,,Extra,0N1 Logo Pin (White),,Eyes,Open (Citrine),,Face,Glasses (Pearl),,Hair,Spiky (Citrine),,Head,Headphones (Turquoise),,Mouth,Smirk,,Spirit,1,10,Strength,1,10,Style,2,10,Type,Y0K-A1,,Wear,Track Jacket (Obsidian),
0N1 #7565,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7565.png,Background,Azurite,,Body,Jasper,,Extra,Void,,Eyes,Eye Shadow (Azurite),,Face,Skull Mask,,Hair,Bob (Obsidian),,Head,Headphones (Rose),,Mouth,Neutral,,Spirit,5,10,Strength,3,10,Style,5,10,Type,Y0K-A1,,Wear,T-Shirt (Obsidian),
0N1 #7759,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7759.png,Background,Light Smoke,,Body,Obsidian,,Extra,0N1 Logo Pin (Black),,Eyes,Open (Citrine),,Face,Void,,Hair,Spiky (Obsidian),,Head,Headphones (Obsidian),,Mouth,Smile,,Spirit,8,10,Strength,6,10,Style,7,10,Type,B4K3M0-N0,,Wear,Track Jacket (Azurite),
0N1 #7600,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7600.png,Background,Citrine,,Body,Azurite,,Extra,Earring (Double),,Eyes,Squint (Citrine),,Face,Bandaid,,Hair,Ponytail (Turquoise),,Head,Pen,,Mouth,Neutral,,Spirit,5,10,Strength,4,10,Style,4,10,Type,Y0K-A1,,Wear,Track Jacket (Obsidian),
0N1 #7678,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7678.png,Background,Light Smoke,,Body,Type-01,,Extra,0N1 Logo Pin (Black),,Eyes,Squint (Azurite),,Face,Tengu Mask,,Hair,Bob (Rose),,Head,Headphones (Pearl),,Mouth,Open,,Spirit,5,10,Strength,7,10,Style,7,10,Type,B4K3M0-N0,,Wear,Bomber Jacket (Pearl/Azurite),
0N1 #7661,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7661.png,Background,Azurite,,Body,Azurite,,Extra,Void,,Eyes,Half Open (Azurite),,Face,Glasses (Obsidian),,Hair,Fade (Pearl),,Head,Void,,Mouth,Neutral,,Spirit,3,10,Strength,3,10,Style,1,10,Type,Y0K-A1,,Wear,Thermal Hoodie (Citrine),
0N1 #7625,https://ipfs.io/ipfs/QmcoavNZq2jyZGe2Zi4nanQqzU9hRPxunHAo8pgYZ5fSep/7625.png,Background,Azurite,,Body,Jasper,,Extra,0N1 Logo Pin (White),,Eyes,Eye Shadow (Azurite),,Face,Nose Scar,,Hair,Spiky (Citrine),,Head,Headphones (Citrine),,Mouth,Smirk,,Spirit,3,10,Strength,1,10,Style,3,10,Type,Y0K-A1,,Wear,T-Shirt (Pearl),
